Date,Month,DayOfYear,DayOfWeek,Year,PM2.5,PM10,NO2,SO2,O3,CO,NH3,AQI_lag1,AQI_lag3,AQI_lag7,AQI_roll7,AQI_roll30,AQI_forecast,AQI_Bucket
2020-07-02,7,184,3,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,48.0,47.0,52.0,50.285714285714285,46.833333333333336,63.08612823486328,Satisfactory
2020-07-03,7,185,4,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,63.08612823486328,46.0,52.0,51.86944689069475,46.30287094116211,67.87561798095703,Satisfactory
2020-07-04,7,186,5,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,67.87561798095703,48.0,58.0,54.13739231654576,47.29872487386068,68.24574279785156,Satisfactory
2020-07-05,7,187,6,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,68.24574279785156,63.08612823486328,49.0,55.60106985909598,48.4735829671224,69.35699462890625,Satisfactory
2020-07-06,7,188,0,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,69.35699462890625,67.87561798095703,47.0,58.50921194893973,49.51881612141927,67.88259887695312,Satisfactory
2020-07-07,7,189,1,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,67.88259887695312,68.24574279785156,46.0,61.492440359933035,49.848236083984375,64.71666717529297,Satisfactory
2020-07-08,7,190,2,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,64.71666717529297,69.35699462890625,48.0,64.16624995640346,49.872124989827476,64.56037139892578,Satisfactory
2020-07-09,7,191,3,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,64.56037139892578,67.88259887695312,63.08612823486328,66.53201729910714,50.22413736979167,64.18560028076172,Satisfactory
2020-07-10,7,192,4,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,64.18560028076172,64.71666717529297,67.87561798095703,66.6890847342355,50.46365737915039,65.30587005615234,Satisfactory
2020-07-11,7,193,5,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,65.30587005615234,64.56037139892578,68.24574279785156,66.32197788783482,51.04051971435547,65.27124786376953,Satisfactory
2020-07-12,7,194,6,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,65.27124786376953,64.18560028076172,69.35699462890625,65.89705004010882,51.81622797648112,65.78290557861328,Satisfactory
2020-07-13,7,195,0,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,65.78290557861328,65.30587005615234,67.88259887695312,65.38646589006696,52.60899149576823,64.86738586425781,Satisfactory
2020-07-14,7,196,1,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,64.86738586425781,65.27124786376953,64.71666717529297,64.95572117396763,53.504571024576826,65.23839569091797,Satisfactory
2020-07-15,7,197,2,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,65.23839569091797,65.78290557861328,64.56037139892578,65.03025381905692,54.612517547607425,65.35374450683594,Satisfactory
2020-07-16,7,198,3,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,65.35374450683594,64.86738586425781,64.18560028076172,65.14359283447266,55.690975697835285,65.35374450683594,Satisfactory
2020-07-17,7,199,4,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,65.35374450683594,65.23839569091797,65.30587005615234,65.31047058105469,56.836100514729814,65.51272583007812,Satisfactory
2020-07-18,7,200,5,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,65.51272583007812,65.35374450683594,65.27124786376953,65.34002140590123,58.053191375732425,65.46800994873047,Satisfactory
2020-07-19,7,201,6,2020,24.17717948717949,60.8625641025641,13.417628205128203,6.231346153846153,18.54589743589744,0.6287179487179488,14.57650641025641,65.46800994873047,65.35374450683594,65.78290557861328,65.36813027518136,59.23545837402344,65.7662582397461,Satisfactory
